n: 22
m: 38
c:
[
 0.5 0 0 0.5 0.5 0 0 0 0 0 0.7 0 1 0 0 1 1 1 0 0 1 0.4333333
 1 0.5 0.7027027 1 1 0 0.7027027 0 0.7027027 0 1 1 1 0 0.3783784 1 1 1 0.7027027 0.027027 1 1
 1 0.2972973 0.5 1 1 0 0.2894737 0 0.2894737 0 1 0 1 0 0 1 1 1 0.4210526 0 1 0.9736842
 0.5 0 0 0.5 0.5 0 0 0.5 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0.5 0
 0.5 0 0 0.5 0.5 0 0 0.5 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0.5 0
 1 1 1 1 1 0.5 1 0.5 1 1 1 0.5 1 1 1 1 1 0.5 1 1 0.5 1
 1 0.2972973 0.7105263 1 1 0 0.5 0 0.3684211 0 1 0 1 0 0 1 1 1 0.9736842 0.0263158 1 0.9736842
 1 1 1 0.5 0.5 0.5 1 0.5 1 1 1 0.5 1 1 1 1 1 1 1 1 0.5 1
 1 0.2972973 0.7105263 1 1 0 0.6315789 0 0.5 0 1 0 1 0 0 1 1 1 1 0 1 0.9736842
 1 1 1 1 1 0 1 0 1 0.5 1 1 1 0.6052632 1 1 1 1 1 0.6052632 1 1
 0.3 0 0 1 1 0 0 0 0 0 0.5 0 1 0 0 1 1 1 0 0 0.6086957 0.2105263
 1 0 1 0.5 0.5 0.5 1 0.5 1 0 1 0.5 1 0 0 0.5 1 0.5 1 0.0555556 1 1
 0 0 0 1 1 0 0 0 0 0 0 0 0.5 0 0 0.15 1 0.625 0 0 0.173913 0
 1 1 1 1 1 0 1 0 1 0.3947368 1 1 1 0.5 1 1 1 1 1 0.2894737 1 1
 1 0.6216216 1 1 1 0 1 0 1 0 1 1 1 0 0.5 1 1 1 1 0.2894737 1 1
 0 0 0 1 1 0 0 0 0 0 0 0.5 0.85 0 0 0.5 0.9166667 1 0 0 0.8 0
 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0.0833333 0.5 0.5 0 0 0 0
 0 0 0 0.5 0.5 0.5 0 0 0 0 0 0.5 0.375 0 0 0 0.5 0.5 0 0 1 0
 1 0.2972973 0.5789474 1 1 0 0.0263158 0 0 0 1 0 1 0 0 1 1 1 0.5 0 1 0.9736842
 1 0.972973 1 1 1 0 0.9736842 0 1 0.3947368 1 0.9444444 1 0.7105263 0.7105263 1 1 1 1 0.5 1 0.9736842
 0 0 0 0.5 0.5 0.5 0 0.5 0 0 0.3913043 0 0.826087 0 0 0.2 1 0 0 0 0.5 0
 0.5666667 0 0.0263158 1 1 0 0.0263158 0 0.0263158 0 0.7894737 0 1 0 0 1 1 1 0.0263158 0.0263158 1 0.5
]
