n: 25
m: 41
c:
[
 0.5 0.8235294 0.1176471 1 0.5 1 0 0.5 0 0.1764706 0.5588235 1 0 1 0.1764706 0.55 1 1 1 0.5 1 0.9411765 0.0588235 1 1
 0.1764706 0.5 0.1463415 1 1 1 0 0.5 0 0.1463415 0.4634146 1 0 1 0.1463415 0.4074074 1 1 1 1 1 0.6829268 0.0487805 1 1
 0.8823529 0.8536585 0.5 1 1 1 0 1 0 1 0.6097561 1 0 1 0.4634146 0.4074074 1 1 1 1 1 1 0.0487805 1 1
 0 0 0 0.5 0.5 1 0 0.5 0 0 0.1470588 0 0 0 0 0 0 0 0 0.5 0 0 0 0 1
 0.5 0 0 0.5 0.5 0.5 0 0 0.5 0 0 0 0.5 0 0 0 0 0.5 0 0.1428571 0.5 0 0 0 0.5
 0 0 0 0 0.5 0.5 0 0.5 0 0 0.0833333 0 0 0 0 0 0.5 0 0 0.5 0 0 0 0 0.5
 1 1 1 1 1 1 0.5 1 0.5 1 1 1 0.5 1 1 1 1 0.5 1 1 0.5 1 1 1 0.5
 0.5 0.5 0 0.5 1 0.5 0 0.5 0.5 0 0 1 0.5 1 0 0 0.5 0.5 1 1 0.5 0 0 1 0.5
 1 1 1 1 0.5 1 0.5 0.5 0.5 1 1 1 0.5 0.5 1 1 0.5 1 1 0.5 1 1 1 1 0.5
 0.8235294 0.8536585 0 1 1 1 0 1 0 0.5 0.4390244 1 0 1 0 0.4074074 1 1 0.9756098 1 0.6842105 0.8536585 0 1 1
 0.4411765 0.5365854 0.3902439 0.8529412 1 0.9166667 0 1 0 0.5609756 0.5 0.8780488 0 1 0 0.2962963 1 0.7368421 0.8780488 1 0.2631579 0.5365854 0 0.8780488 1
 0 0 0 1 1 1 0 0 0 0 0.1219512 0.5 0 1 0 0 1 1 0.8536585 1 0 0 0 0.7804878 1
 1 1 1 1 0.5 1 0.5 0.5 0.5 1 1 1 0.5 0.5 1 0.5 0.5 1 1 0.5 1 1 1 1 1
 0 0 0 1 1 1 0 0 0.5 0 0 0 0.5 0.5 0 0 0.7368421 0.5 0 1 0.5 0 0 0 0.5
 0.8235294 0.8536585 0.5365854 1 1 1 0 1 0 1 1 1 0 1 0.5 1 1 1 1 1 0.7894737 0.902439 0 1 1
 0.45 0.5925926 0.5925926 1 1 1 0 1 0 0.5925926 0.7037037 1 0.5 1 0 0.5 1 1 1 1 1 0.5925926 0 1 0.5
 0 0 0 1 1 0.5 0 0.5 0.5 0 0 0 0.5 0.2631579 0 0 0.5 0.5 0 1 0.5 0 0 0 0.5
 0 0 0 1 0.5 1 0.5 0.5 0 0 0.2631579 0 0 0.5 0 0 0.5 0.5 0 0.5 0 0 0 0 1
 0 0 0 1 1 1 0 0 0 0.0243902 0.1219512 0.1463415 0 1 0 0 1 1 0.5 1 0 0 0 0.1219512 1
 0.5 0 0 0.5 0.8571429 0.5 0 0 0.5 0 0 0 0.5 0 0 0 0 0.5 0 0.5 0.5 0 0 0 0.5
 0 0 0 1 0.5 1 0.5 0.5 0 0.3157895 0.7368421 1 0 0.5 0.2105263 0 0.5 1 1 0.5 0.5 0 0 1 1
 0.0588235 0.3170732 0 1 1 1 0 1 0 0.1463415 0.4634146 1 0 1 0.097561 0.4074074 1 1 1 1 1 0.5 0 1 1
 0.9411765 0.9512195 0.9512195 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0.5 1 1
 0 0 0 1 1 1 0 0 0 0 0.1219512 0.2195122 0 1 0 0 1 1 0.8780488 1 0 0 0 0.5 1
 0 0 0 0 0.5 0.5 0.5 0.5 0.5 0 0 0 0 0.5 0 0.5 0.5 0 0 0.5 0 0 0 0 0.5
]
