n: 47
m: 17
c:
[
 0.5 0 1 0.5 1 0 0 0.25 0.4545455 0.4 1 1 1 1 0 0.5 1 1 0 0.5 1 0.4285714 0.6666667 0.75 0.625 0.1818182 0.5 0 0.1818182 0.3333333 0.3636364 0.0666667 0 0.2857143 0.8333333 0 0 0.6666667 1 0.6923077 0.75 0.2 1 0.1333333 1 0.6666667 0.5555556
 1 0.5 1 1 1 0.1176471 0.1764706 1 0.9230769 0.7142857 1 1 1 1 0.1176471 1 1 1 0.0588235 1 1 0.6875 1 1 1 0.4615385 1 1 0.5454545 0.8823529 1 0.6470588 0.4117647 0.4444444 1 0 1 0.625 1 1 0.7857143 0.7142857 1 0.3529412 1 1 1
 0 0 0.5 0.5 0.5 0 0 0.5 0.5 0.5 1 0.5 0 1 0 0.3333333 0.5 1 0 0.5 0.5 0.5 1 0.5 0 0 0.5 0.5 0 0.6666667 0 0 0 0.5 0.3333333 0 0.5 0.5 1 0 0 0.5 0.6666667 0 0.5 0 0
 0.5 0 0.5 0.5 0.5 0 0 0.5 0.1666667 0 0.5 0.5 1 0.5 0 0.2 0.5 0.5 0 0.5 0.5 0.5 0.5 0.5 0.5 0 0.5 1 0.5 0.1666667 0.5 0.1666667 0.6666667 0 0.5 0 1 0 0.5 0.5 0 0 0.5 0 0 0.3333333 0
 0 0 0.5 0.5 0.5 0 0 0 0 0.5 0.5 0.5 0.5 0.5 0 0.5 1 0.5 0 0.5 0.5 0 0.5 0 0.5 0 0.5 0.5 0 0 0 0 0 0 0.5 0 0.5 1 0.5 0 0 0.5 0.5 0 0.5 1 0.5
 1 0.8823529 1 1 1 0.5 0.5882353 1 1 1 1 1 1 1 0.4705882 1 1 1 0.5882353 1 1 0.8125 1 1 1 0.6153846 1 1 0.6363636 1 1 0.9411765 0.7058824 1 1 0.4117647 1 1 1 1 1 1 1 0.6470588 1 1 1
 1 0.8235294 1 1 1 0.4117647 0.5 1 1 0.7142857 1 1 1 1 0.3529412 1 1 1 0.6470588 1 1 1 1 1 1 0.4615385 1 1 0.7272727 1 1 1 0.5294118 0.5555556 1 0 1 0.625 1 1 0.7857143 0.7142857 1 0.4117647 1 1 1
 0.75 0 0.5 0.5 1 0 0 0.5 0.625 0.4 0.5 1 1 0.5 0 0.6666667 1 0.5 0 0.5 0.5 0.375 0.75 1 1 0.125 0.5 1 0.5 0.125 1 0 0 0.2857143 0.5 0 1 0.6666667 0.5 0.6666667 0.7142857 0.2 1 0 1 0.7142857 1
 0.5454545 0.0769231 0.5 0.8333333 1 0 0 0.375 0.5 0.2857143 0.5 1 0.8571429 0.5 0 0.6666667 1 1 0 1 1 0.4615385 1 1 0.75 0.1666667 1 1 0.2857143 0.3076923 0.1428571 0.0769231 0.2307692 0 1 0 1 0.375 0.5 0.3333333 0.6 0 0.8 0 1 0.5 0.1428571
 0.6 0.2857143 0.5 1 0.5 0 0.2857143 0.6 0.7142857 0.5 0.5 0.5 1 0.5 0 0.8 0.5 0.5 0 1 0.5 0.8571429 1 0.5 0.5 0 1 1 0 0.5714286 1 0.2857143 0.5714286 0.5714286 0.5 0 1 0.4285714 0.5 0.6666667 0.4285714 0.5714286 0.5 0 1 0.75 1
 0 0 0 0.5 0.5 0 0 0.5 0.5 0.5 0.5 0.5 0.5 1 0 0 0.5 0.5 0 0.5 0.5 0 0.5 0.5 0 0.5 0 0.5 0 0 0 0 0 0.5 0 0 0.5 0.5 0.5 0 0 0.5 0 0 0.5 0.5 0
 0 0 0.5 0.5 0.5 0 0 0 0 0.5 0.5 0.5 0 0.5 0 0.5 0.5 0 0 0.5 0.5 0 0.5 0.5 0 0 0.5 0.5 0 0 0 0 0 0.5 0.5 0 0.5 0.5 0.5 0 0.5 0.5 1 0 0.5 0 0
 0 0 1 0 0.5 0 0 0 0.1428571 0 0.5 1 0.5 0.5 0 0.25 0.5 0.5 0 0.5 1 0 0.5 0.6666667 0.3333333 0.1428571 0 0.5 0 0.1111111 0 0 0 0.3333333 0.25 0 0.5 0 1 0 0.1666667 0 0.5714286 0 0.5 0.125 0
 0 0 0 0.5 0.5 0 0 0.5 0.5 0.5 0 0.5 0.5 0.5 0 0 0.5 0.5 0 0.5 0.5 0 0.5 0.5 0 0.5 0 0.5 0 0 0 0 0 0.5 0 0 0.5 0.5 0.5 0 0 0.5 0 0 0.5 0.5 0
 1 0.8823529 1 1 1 0.5294118 0.6470588 1 1 1 1 1 1 1 0.5 1 1 1 0.6470588 1 1 0.9375 1 1 1 0.5384615 1 1 0.6363636 1 1 1 0.7058824 1 1 0.4117647 1 1 1 1 1 1 1 0.7058824 1 1 1
 0.5 0 0.6666667 0.8 0.5 0 0 0.3333333 0.3333333 0.2 1 0.5 0.75 1 0 0.5 0.5 0.6666667 0 1 0.5 0.5555556 1 0.5 0.2 0 0.5 1 0 0.3 0.2 0.1 0.4 0 0.2 0 1 0.2 1 0.3333333 0.3 0 0.2 0 0.5 0.4 0.2857143
 0 0 0.5 0.5 0 0 0 0 0 0.5 0.5 0.5 0.5 0.5 0 0.5 0.5 0.5 0 0.5 0.5 0 0.5 0 0.5 0 0.5 0.5 0 0 0 0 0 0 0.5 0 0.5 1 0.5 0 0 0.5 0.5 0 0.5 0 0.5
 0 0 0 0.5 0.5 0 0 0.5 0 0.5 0.5 1 0.5 0.5 0 0.3333333 0.5 0.5 0 0.5 0 0 1 1 0 0 0.5 0.5 0 0 0 0 0 0.5 0 0 0.5 0.5 0.5 0 0.6666667 0.5 0.2 0 0.5 0 0
 1 0.9411765 1 1 1 0.4117647 0.3529412 1 1 1 1 1 1 1 0.3529412 1 1 1 0.5 1 1 1 1 1 1 0.4615385 1 1 0.5454545 1 1 1 0.5294118 0.7777778 1 0.2352941 1 1 1 1 1 0.8571429 1 0.4117647 1 1 1
 0.5 0 0.5 0.5 0.5 0 0 0.5 0 0 0.5 0.5 0.5 0.5 0 0 0.5 0.5 0 0.5 0.5 0 0 0.5 0.5 0 0 0.5 0.5 0 0.5 0 0.5 0 0.5 0 0.5 0 0.5 0.5 0 0 0.5 0 0.5 0.5 0
 0 0 0.5 0.5 0.5 0 0 0.5 0 0.5 0.5 0.5 0 0.5 0 0.5 0.5 1 0 0.5 0.5 0 0.5 0.5 0 0 0.5 0.5 0 0 0 0 0 0.5 0 0 0.5 0.5 0.5 0 0.5 0.5 0 0 0.5 0 0
 0.5714286 0.3125 0.5 0.5 1 0.1875 0 0.625 0.5384615 0.1428571 1 1 1 1 0.0625 0.4444444 1 1 0 1 1 0.5 0.625 1 0.5714286 0.5 0.3333333 1 0.5 0.4375 0.6 0.1875 0.125 0.2222222 0.6 0 1 0.25 0.5 0.75 0.4615385 0.1428571 0.625 0.1875 1 0.75 0.6
 0.3333333 0 0 0.5 0.5 0 0 0.25 0 0 0.5 0.5 0.5 0.5 0 0 0.5 0 0 1 0.5 0.375 0.5 0.5 0 0 0.5 1 0 0 0 0 0.25 0 0 0 1 0 0.5 0.25 0 0 0 0 1 0.2 0
 0.25 0 0.5 0.5 1 0 0 0 0 0.5 0.5 0.5 0.3333333 0.5 0 0.5 1 0 0 0.5 0.5 0 0.5 0.5 0.5 0.25 0.5 0.5 0 0 0 0 0 0 0.5 0 0.5 1 0.5 0 0.5 0.5 0.6666667 0 0.5 0.25 0
 0.375 0 1 0.5 0.5 0 0 0 0.25 0.5 1 1 0.6666667 1 0 0.8 0.5 1 0 0.5 1 0.4285714 1 0.5 0.5 0.25 0.5 0.5 0 0.5 0.25 0.25 0 0.5 1 0 0.5 0.5 1 0.5 1 0.5 1 0.375 0.5 0.3333333 0.5
