n: 20
m: 36
c:
[
 0.5 1 1 1 1 0.25 0 1 1 1 1 1 1 1 1 1 1 1 1 1
 0 0.5 1 1 1 0 0 1 1 1 1 1 0.5555556 1 1 1 1 1 1 1
 0 0 0.5 0.625 0.2083333 0 0 0.2916667 0 0.5 0.5 0.9285714 0 0.6666667 1 0.5 0.25 0.6666667 0.5416667 0.375
 0 0 0.375 0.5 0.1666667 0 0 0 0 1 1 1 0 0.6666667 0 1 0 0.7096774 0 0
 0 0 0.7916667 0.8333333 0.5 0 0 0.3888889 0.2 1 1 1 0 0.8611111 1 1 0.1666667 1 0.3888889 0.3888889
 0.75 1 1 1 1 0.5 0 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 0.5 1 1 1 1 1 1 1 1 1 1 1 1 1
 0 0 0.7083333 1 0.6111111 0 0 0.5 0.16 1 1 1 0 1 1 1 0 1 0.6666667 0.8611111
 0 0 1 1 0.8 0 0 0.84 0.5 1 0.5 1 0 1 1 0.5 0.24 1 0.56 0.76
 0 0 0.5 0 0 0 0 0 0 0.5 0.3636364 0.0833333 0 0 0.5 1 0 0 0 0
 0 0 0.5 0 0 0 0 0 0.5 0.6363636 0.5 0 0 0 0.5 1 0 0 0 0
 0 0 0.0714286 0 0 0 0 0 0 0.9166667 1 0.5 0 0 0.5 1 0 0 0 0
 0 0.4444444 1 1 1 0 0 1 1 1 1 1 0.5 1 1 1 1 1 1 1
 0 0 0.3333333 0.3333333 0.1388889 0 0 0 0 1 1 1 0 0.5 0.1 1 0 0.6774194 0 0.1388889
 0 0 0 1 0 0 0 0 0 0.5 0.5 0.5 0 0.9 0.5 0.5 0 0.9 0.3 0
 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0 0 0.5 0.5 0 0.5 0 0
 0 0 0.75 1 0.8333333 0 0 1 0.76 1 1 1 0 1 1 1 0.5 1 1 1
 0 0 0.3333333 0.2903226 0 0 0 0 0 1 1 1 0 0.3225806 0.1 0.5 0 0.5 0 0
 0 0 0.4583333 1 0.6111111 0 0 0.3333333 0.44 1 1 1 0 1 0.7 1 0 1 0.5 0.6111111
 0 0 0.625 1 0.6111111 0 0 0.1388889 0.24 1 1 1 0 0.8611111 1 1 0 1 0.3888889 0.5
]
