n: 10
m: 23
c:
[
 0.5 1 0.75 1 0.2941176 0.1363636 0.8095238 0.4090909 0 0.8
 0 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0 0.5
 0.25 0.5 0.5 1 0.25 0 0 0 0 0
 0 0.5 0 0.5 0.5 0 0.5 0 0 1
 0.7058824 0.5 0.75 0.5 0.5 0.3888889 0.9444444 0.5555556 0.0555556 0.7777778
 0.8636364 0.5 1 1 0.6111111 0.5 0.8636364 0.7391304 0.2608696 0.8181818
 0.1904762 0.5 1 0.5 0.0555556 0.1363636 0.5 0.3636364 0 0.2727273
 0.5909091 0.5 1 1 0.4444444 0.2608696 0.6363636 0.5 0.0434783 0.5454545
 1 1 1 1 0.9444444 0.7391304 1 0.9565217 0.5 1
 0.2 0.5 1 0 0.2222222 0.1818182 0.7272727 0.4545455 0 0.5
]
