n: 31
m: 5
c:
[
 0.5 1 0 0 0.2 0.75 1 0 0.2 0.4 0 1 1 0 1 0.5 0 0 0.6 1 0.5 0 1 0 1 0 1 0.8 0.4 0.8 0.6
 0 0.5 0 0 0 1 1 0 0 0.5 0 1 0.5 0 1 0.5 0 0 0.5 1 1 0 0.5 0 0.5 0 1 1 0.5 1 0.5
 1 1 0.5 0 1 1 1 0.8 1 0.8 0.8 1 1 0 1 0.5 0 0.8 1 1 1 0.6 1 0.8 1 0 1 1 1 1 1
 1 1 1 0.5 1 1 1 0.8 1 0.8 0.8 1 1 0 1 1 0.2 1 1 1 1 0.8 1 0.8 1 0.2 1 1 1 1 1
 0.8 1 0 0 0.5 1 1 0 0.8 0.8 0.2 1 0 0 1 0.5 0 0.2 1 1 1 0.4 1 0.4 1 0 1 0.8 1 1 1
 0.25 0 0 0 0 0.5 1 0 0.25 0 0 1 0.5 0 1 1 0 0 0 1 0 0 1 0 1 0 1 1 0 1 0
 0 0 0 0 0 0 0.5 0 0 0 0 0.5 0 0 0.5 0.5 0 0 0 0.5 0 0 1 0 1 0 0.3333333 0.5 0 0 0
 1 1 0.2 0.2 1 1 1 0.5 1 1 0.8 1 1 0.2 1 1 0.2 1 1 1 1 0.6 1 0.6 1 0.2 1 1 1 1 1
 0.8 1 0 0 0.2 0.75 1 0 0.5 0.2 0 1 1 0 1 0.5 0 0 0.4 1 0.75 0 1 0 1 0 1 1 0.4 0.8 0.6
 0.6 0.5 0.2 0.2 0.2 1 1 0 0.8 0.5 0 1 1 0 1 1 0.2 0.2 1 1 1 0.4 1 0.2 1 0.2 1 1 0.4 1 0.6
 1 1 0.2 0.2 0.8 1 1 0.2 1 1 0.5 1 1 0.2 1 1 0.2 0.4 1 1 1 0.6 1 0.4 1 0.2 1 1 1 1 1
 0 0 0 0 0 0 0.5 0 0 0 0 0.5 0.5 0 0 0.5 0 0 0 0.5 0 0 0.5 0 0.5 0 0 0 0 0 0
 0 0.5 0 0 1 0.5 1 0 0 0 0 0.5 0.5 0 0.5 0 0 0 1 1 0.5 0 1 0 0.5 0 1 0 1 1 1
 1 1 1 1 1 1 1 0.8 1 1 0.8 1 1 0.5 1 1 0.2 1 1 1 1 1 1 0.8 1 0.4 1 1 1 1 1
 0 0 0 0 0 0 0.5 0 0 0 0 1 0.5 0 0.5 0.5 0 0 0 0.5 0 0 0.5 0 0.5 0 0 0 0 0 0
 0.5 0.5 0.5 0 0.5 0 0.5 0 0.5 0 0 0.5 1 0 0.5 0.5 0 0.5 0.5 0.5 0 0 1 0 0.5 0 0.5 0.5 0.5 0.5 0.5
 1 1 1 0.8 1 1 1 0.8 1 0.8 0.8 1 1 0.8 1 1 0.5 1 1 1 1 0.8 1 0.8 1 1 1 1 1 1 1
 1 1 0.2 0 0.8 1 1 0 1 0.8 0.6 1 1 0 1 0.5 0 0.5 1 1 1 0.4 1 0.4 1 0 1 1 1 1 1
 0.4 0.5 0 0 0 1 1 0 0.6 0 0 1 0 0 1 0.5 0 0 0.5 1 1 0.2 1 0 1 0 1 0.8 0 1 0.6
 0 0 0 0 0 0 0.5 0 0 0 0 0.5 0 0 0.5 0.5 0 0 0 0.5 0 0 0 0 0 0 0.3333333 0.5 0 0 0
 0.5 0 0 0 0 1 1 0 0.25 0 0 1 0.5 0 1 1 0 0 0 1 0.5 0 1 0 1 0 1 1 0 1 0.5
 1 1 0.4 0.2 0.6 1 1 0.4 1 0.6 0.4 1 1 0 1 1 0.2 0.6 0.8 1 1 0.5 1 0.4 1 0.2 1 1 0.8 1 1
 0 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0 0.5 0 0 0 0 1 0 0 0.5 0 1 0 1 0.5 0 0 0
 1 1 0.2 0.2 0.6 1 1 0.4 1 0.8 0.6 1 1 0.2 1 1 0.2 0.6 1 1 1 0.6 1 0.5 1 0.2 1 1 1 1 1
 0 0.5 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0.5 0.5 0 0 0 1 0 0 0 0 0.5 0 0.5 1 0 0 0
 1 1 1 0.8 1 1 1 0.8 1 0.8 0.8 1 1 0.6 1 1 0 1 1 1 1 0.8 1 0.8 1 0.5 1 1 1 1 1
 0 0 0 0 0 0 0.6666667 0 0 0 0 1 0 0 1 0.5 0 0 0 0.6666667 0 0 0 0 0.5 0 0.5 0.75 0 0 0
 0.2 0 0 0 0.2 0 0.5 0 0 0 0 1 1 0 1 0.5 0 0 0.2 0.5 0 0 0.5 0 0 0 0.25 0.5 0.2 0.2 0.2
 0.6 0.5 0 0 0 1 1 0 0.6 0.6 0 1 0 0 1 0.5 0 0 1 1 1 0.2 1 0 1 0 1 0.8 0.5 1 0.6
 0.2 0 0 0 0 0 1 0 0.2 0 0 1 0 0 1 0.5 0 0 0 1 0 0 1 0 1 0 1 0.8 0 0.5 0
 0.4 0.5 0 0 0 1 1 0 0.4 0.4 0 1 0 0 1 0.5 0 0 0.4 1 0.5 0 1 0 1 0 1 0.8 0.4 1 0.5
]
