n: 22
m: 37
c:
[
 0.5 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 0.5 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1
 0 0 0.5 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1
 0 0 0 0.5 0.1111111 0.0540541 1 0 0 0 1 1 0 0 0 1 0 1 1 0.0540541 1 0.1904762
 0 0 0 0.8888889 0.5 0.8888889 1 0.8 0 0.4444444 0.5 1 0.4444444 0 0 1 0 1 1 0.8888889 1 0
 0 0 0 0.9459459 0.1111111 0.5 1 0.9310345 0 0 1 1 0 0 0 1 0 1 1 1 1 1
 0 0 0 0 0 0 0.5 0.5 0 0 0.5 0.5 0 0 0 0.5 0 0.5 0 0 0 0.5
 0 0 0 1 0.2 0.0689655 0.5 0.5 0 0 1 0.5 0 0 0 0.5 0 1 1 0.8965517 1 1
 1 1 1 1 1 1 1 1 0.5 1 1 1 1 1 1 1 1 1 1 1 1 1
 0 0 0 1 0.5555556 1 1 1 0 0.5 1 1 0.3243243 0 0 1 0 1 1 1 1 1
 0 0 0 0 0.5 0 0.5 0 0 0 0.5 0.5 0 0 0 0.5 0 0 0.5 0 0.5 0
 0 0 0 0 0 0 0.5 0.5 0 0 0.5 0.5 0 0 0 0.5 0 0.5 0 0 0 0.5
 0 0 0 1 0.5555556 1 1 1 0 0.6756757 1 1 0.5 0 0 1 0 1 1 1 1 1
 0 0 0 1 1 1 1 1 0 1 1 1 1 0.5 0 1 0 1 1 1 1 1
 0 0 0 1 1 1 1 1 0 1 1 1 1 1 0.5 1 0.4324324 1 1 1 1 1
 0 0 0 0 0 0 0.5 0.5 0 0 0.5 0.5 0 0 0 0.5 0 0.5 0 0 0 0.5
 0 0 0 1 1 1 1 1 0 1 1 1 1 1 0.5675676 1 0.5 1 1 1 1 1
 0 0 0 0 0 0 0.5 0 0 0 1 0.5 0 0 0 0.5 0 0.5 0.25 0 0.5 0
 0 0 0 0 0 0 1 0 0 0 0.5 1 0 0 0 1 0 0.75 0.5 0.0833333 0.65 0.25
 0 0 0 0.9459459 0.1111111 0 1 0.1034483 0 0 1 1 0 0 0 1 0 1 0.9166667 0.5 0.9 1
 0 0 0 0 0 0 1 0 0 0 0.5 1 0 0 0 1 0 0.5 0.35 0.1 0.5 0
 0 0 0 0.8095238 1 0 0.5 0 0 0 1 0.5 0 0 0 0.5 0 1 0.75 0 1 0.5
]
