n: 16
m: 31
c:
[
 0.5 1 1 0 0 1 0.0645161 0.5483871 1 0 0 1 0 1 1 1
 0 0.5 1 0 0 1 0 0 1 0 0 1 0 0 0 0
 0 0 0.5 0 0 1 0 0 1 0 0 1 0 0 0 0
 1 1 1 0.5 0 1 1 1 1 0 0.9032258 1 0 1 1 1
 1 1 1 1 0.5 1 1 1 1 0 1 1 0 1 1 1
 0 0 0 0 0 0.5 0 0 1 0 0 1 0 0 0 0
 0.9354839 1 1 0 0 1 0.5 1 1 0 0.5806452 1 0 1 1 1
 0.4516129 1 1 0 0 1 0 0.5 1 0 0 1 0 1 1 1
 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0
 1 1 1 1 1 1 1 1 1 0.5 1 1 0 1 1 1
 1 1 1 0.0967742 0 1 0.4193548 1 1 0 0.5 1 0 1 1 1
 0 0 0 0 0 0 0 0 1 0 0 0.5 0 0 0 0
 1 1 1 1 1 1 1 1 1 1 1 1 0.5 1 1 1
 0 1 1 0 0 1 0 0 1 0 0 1 0 0.5 0.8333333 0.6451613
 0 1 1 0 0 1 0 0 1 0 0 1 0 0.1666667 0.5 0.125
 0 1 1 0 0 1 0 0 1 0 0 1 0 0.3548387 0.875 0.5
]
