n: 18
m: 9
c:
[
 0.5 0 0 0.3333333 1 1 1 0 0 1 1 1 0 0 0.3333333 0 0 0
 1 0.5 1 1 1 1 1 1 1 1 1 1 0.6666667 1 1 1 1 1
 1 0 0.5 1 1 1 1 1 0.2222222 1 1 1 0 1 1 1 0 1
 0.6666667 0 0 0.5 1 1 1 0 0 1 1 1 0 0 0.4444444 0 0 0
 0 0 0 0 0.5 1 1 0 0 1 1 1 0 0 0 0 0 0
 0 0 0 0 0 0.5 1 0 0 1 1 1 0 0 0 0 0 0
 0 0 0 0 0 0 0.5 0 0 0 0.5 0.5 0 0 0 0 0 0
 1 0 0 1 1 1 1 0.5 0.2222222 1 1 1 0 0.2222222 1 1 0 0.2222222
 1 0 0.7777778 1 1 1 1 0.7777778 0.5 1 1 1 0 1 1 1 0 1
 0 0 0 0 0 0 1 0 0 0.5 0.5 1 0 0 0 0 0 0
 0 0 0 0 0 0 0.5 0 0 0.5 0.5 1 0 0 0 0 0 0
 0 0 0 0 0 0 0.5 0 0 0 0 0.5 0 0 0 0 0 0
 1 0.3333333 1 1 1 1 1 1 1 1 1 1 0.5 1 1 1 1 1
 1 0 0 1 1 1 1 0.7777778 0 1 1 1 0 0.5 1 1 0 1
 0.6666667 0 0 0.5555556 1 1 1 0 0 1 1 1 0 0 0.5 0 0 0
 1 0 0 1 1 1 1 0 0 1 1 1 0 0 1 0.5 0 0
 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0.5 1
 1 0 0 1 1 1 1 0.7777778 0 1 1 1 0 0 1 1 0 0.5
]
