n: 21
m: 36
c:
[
 0.5 1 1 1 1 1 1 1 0.9722222 1 1 1 1 1 1 1 1 1 1 1 1
 0 0.5 0 0.8518519 0.5 0.1851852 1 0 0 0.8518519 0.5555556 1 0.4230769 0.5 1 0.1481481 0.4444444 0.5555556 0.7647059 0.8518519 0.8518519
 0 1 0.5 1 1 1 1 0.0769231 0 1 0.9166667 1 0.3142857 1 1 0.75 1 1 1 1 1
 0 0.1481481 0 0.5 1 0.3333333 1 0 0 1 0 1 0 1 0.1481481 0.3611111 0.6470588 0 1 1 1
 0 0.5 0 0 0.5 0 0.5 0 0 0 0 0.5 0 0.5 0.5 0 0 0 0 0 0
 0 0.8148148 0 0.6666667 1 0.5 1 0 0 1 0.6388889 1 0.3142857 1 1 0.6944444 0.7352941 0.6388889 1 1 1
 0 0 0 0 0.5 0 0.5 0.5 0 0.2 0 1 0 0.5 0 0 0 0 0.5 0 0
 0 1 0.9230769 1 1 1 0.5 0.5 0 1 0.9230769 0.5 0.9230769 1 1 1 1 1 1 1 1
 0.0277778 1 1 1 1 1 1 1 0.5 1 1 1 1 1 1 1 1 1 1 1 1
 0 0.1481481 0 0 1 0 0.8 0 0 0.5 0 0.8333333 0 1 0.1481481 0.3611111 0.6176471 0 1 0.5833333 0.7222222
 0 0.4444444 0.0833333 1 1 0.3611111 1 0.0769231 0 1 0.5 1 0 1 1 0.4722222 0.6470588 0.8888889 1 1 1
 0 0 0 0 0.5 0 0 0.5 0 0.1666667 0 0.5 0 0.5 0 0 0 0 0.5 0 0
 0 0.5769231 0.6857143 1 1 0.6857143 1 0.0769231 0 1 1 1 0.5 1 1 0.6857143 0.6969697 1 1 1 1
 0 0.5 0 0 0.5 0 0.5 0 0 0 0 0.5 0 0.5 0.5 0 0.5 0 0 0 0
 0 0 0 0.8518519 0.5 0 1 0 0 0.8518519 0 1 0 0.5 0.5 0.2222222 0.5555556 0 1 1 1
 0 0.8518519 0.25 0.6388889 1 0.3055556 1 0 0 0.6388889 0.5277778 1 0.3142857 1 0.7777778 0.5 0.9117647 0.5277778 0.9230769 1 0.6666667
 0 0.5555556 0 0.3529412 1 0.2647059 1 0 0 0.3823529 0.3529412 1 0.3030303 0.5 0.4444444 0.0882353 0.5 0.3529412 0.4583333 0.7941176 0.5294118
 0 0.4444444 0 1 1 0.3611111 1 0 0 1 0.1111111 1 0 1 1 0.4722222 0.6470588 0.5 1 1 1
 0 0.2352941 0 0 1 0 0.5 0 0 0 0 0.5 0 1 0 0.0769231 0.5416667 0 0.5 0.6538462 0.1538462
 0 0.1481481 0 0 1 0 1 0 0 0.4166667 0 1 0 1 0 0 0.2058824 0 0.3461538 0.5 0.3611111
 0 0.1481481 0 0 1 0 1 0 0 0.2777778 0 1 0 1 0 0.3333333 0.4705882 0 0.8461538 0.6388889 0.5
]
