n: 23
m: 46
c:
[
 0.5 1 0.2 0.6666667 0.7111111 0 0 0.2 1 0.5263158 1 0.3333333 0.5 0.7727273 0.9333333 0.2 0.2666667 1 1 0.2 1 0.2 0.3846154
 0 0.5 0 0 0 0 0 0 0.5 0.5 0.5 0 0.5 0 0 0 0 0.5 0.5 0 0.5 0 0
 0.8 1 0.5 1 1 0 0.4565217 1 1 1 1 1 1 1 1 0 1 1 1 0.6521739 1 1 1
 0.3333333 1 0 0.5 0.5217391 0 0 0 1 0.5 1 0.3243243 1 0.7727273 0.826087 0 0 1 1 0 1 0 0.0384615
 0.2888889 1 0 0.4782609 0.5 0 0 0 0.7777778 0.3 1 0.3243243 1 0.5227273 0.4782609 0 0 1 1 0 1 0 0.2692308
 1 1 1 1 1 0.5 0.4565217 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 0.5434783 1 1 0.5434783 0.5 1 1 0.95 1 1 1 1 1 0.5434783 1 1 1 0.5434783 1 0.5652174 1
 0.8 1 0 1 1 0 0 0.5 1 0.5 1 0.9189189 1 1 1 0 1 1 1 0 1 0.2173913 1
 0 0.5 0 0 0.2222222 0 0 0 0.5 0 0.5 0 1 0.1428571 0 0 0 0.5 0.5 0 1 0 0.5
 0.4736842 0.5 0 0.5 0.7 0 0.05 0.5 1 0.5 0.5 0.5 1 0.4444444 0.5 0 0.5 0.5 0.5 0 0.6923077 0 0.5
 0 0.5 0 0 0 0 0 0 0.5 0.5 0.5 0.5 0.5 0 0 0 0 0.5 0.75 0 0.5 0 0
 0.6666667 1 0 0.6756757 0.6756757 0 0 0.0810811 1 0.5 0.5 0.5 1 0.6571429 0.6756757 0 0.3783784 1 0.8 0 1 0 0.2941176
 0.5 0.5 0 0 0 0 0 0 0 0 0.5 0 0.5 0.5 0 0 0 0.5 0.5 0 1 0 0.5
 0.2272727 1 0 0.2272727 0.4772727 0 0 0 0.8571429 0.5555556 1 0.3428571 0.5 0.5 0.4318182 0 0 1 1 0 1 0 0
 0.0666667 1 0 0.173913 0.5217391 0 0 0 1 0.5 1 0.3243243 1 0.5681818 0.5 0 0 1 1 0 1 0 0.0384615
 0.8 1 1 1 1 0 0.4565217 1 1 1 1 1 1 1 1 0.5 1 1 1 1 1 1 1
 0.7333333 1 0 1 1 0 0 0 1 0.5 1 0.6216216 1 1 1 0 0.5 1 1 0 1 0 1
 0 0.5 0 0 0 0 0 0 0.5 0.5 0.5 0 0.5 0 0 0 0 0.5 0 0 0.5 0 0
 0 0.5 0 0 0 0 0 0 0.5 0.5 0.25 0.2 0.5 0 0 0 0 1 0.5 0 0.5 0 0
 0.8 1 0.3478261 1 1 0 0.4565217 1 1 1 1 1 1 1 1 0 1 1 1 0.5 1 1 1
 0 0.5 0 0 0 0 0 0 0 0.3076923 0.5 0 0 0 0 0 0 0.5 0.5 0 0.5 0 0
 0.8 1 0 1 1 0 0.4347826 0.7826087 1 1 1 1 1 1 1 0 1 1 1 0 1 0.5 1
 0.6153846 1 0 0.9615385 0.7307692 0 0 0 0.5 0.5 1 0.7058824 0.5 1 0.9615385 0 0 1 1 0 1 0 0.5
]
