n: 14
m: 15
c:
[
 0.5 0.5 0.5 1 1 0.5 0.5 0.5 1 0.5 1 0.5 1 0.5
 0.5 0.5 0.5 0.5 0.5 0.5 0 0.5 0.5 0.5 0.5 0 0 0.5
 0.5 0.5 0.5 1 0 0.5 0.5 0.5 0.5 0.5 0.5 0 1 0.5
 0 0.5 0 0.5 0.5 0 0 0 0.75 0.5 0 0.6666667 0.1428571 0
 0 0.5 1 0.5 0.5 1 0 0.5 0.75 0 0 0.625 0.2727273 0.5
 0.5 0.5 0.5 1 0 0.5 0.5 0.5 0.5 0.5 0.5 1 0 0.5
 0.5 1 0.5 1 1 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 1 0.5 0.5 0.5 0.5 0.5 0.5 0 1 0 0.5
 0 0.5 0.5 0.25 0.25 0.5 0.5 0.5 0.5 0 0 0 0 0.5
 0.5 0.5 0.5 0.5 1 0.5 0.5 0.5 1 0.5 0 1 0 0
 0 0.5 0.5 1 1 0.5 0.5 1 1 1 0.5 1 0.25 1
 0.5 1 1 0.3333333 0.375 0 0.5 0 1 0 0 0.5 0.1111111 0.5
 0 1 0 0.8571429 0.7272727 1 0.5 1 1 1 0.75 0.8888889 0.5 1
 0.5 0.5 0.5 1 0.5 0.5 0.5 0.5 0.5 1 0 0.5 0 0.5
]
