n: 17
m: 31
c:
[
 0.5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 0 0.5 0.0645161 0 0 1 0 0.5238095 0 1 1 1 1 0 1 0 0
 0 0.9354839 0.5 0 0 0 0 0.9047619 0 0 0.8181818 0 0 0 1 0 0.7
 0 1 1 0.5 0 1 0 1 0 1 1 1 1 0.2903226 1 0.483871 0.8
 0 1 1 1 0.5 1 1 1 1 1 1 1 1 1 1 1 1
 0 0 1 0 0 0.5 0 0 0 0 0 0 0 0 1 0 0.5
 0 1 1 1 0 1 0.5 1 0.9354839 1 1 1 1 1 1 1 1
 0 0.4761905 0.0952381 0 0 1 0 0.5 0 1 1 1 1 0 0.8181818 0 0.5
 0 1 1 1 0 1 0.0645161 1 0.5 1 1 1 1 1 1 1 1
 0 0 1 0 0 1 0 0 0 0.5 0 0 1 0 1 0 0.5
 0 0 0.1818182 0 0 1 0 0 0 1 0.5 1 1 0 1 0 0.5
 0 0 1 0 0 1 0 0 0 1 0 0.5 1 0 1 0 0.5
 0 0 1 0 0 1 0 0 0 0 0 0 0.5 0 1 0 0.5
 0 1 1 0.7096774 0 1 0 1 0 1 1 1 1 0.5 1 1 1
 0 0 0 0 0 0 0 0.1818182 0 0 0 0 0 0 0.5 0 0
 0 1 1 0.516129 0 1 0 1 0 1 1 1 1 0 1 0.5 1
 0 1 0.3 0.2 0 0.5 0 0.5 0 0.5 0.5 0.5 0.5 0 1 0 0.5
]
