n: 13
m: 15
c:
[
 0.5 1 1 0.5 0.5 0.5 0.5 0.5 1 1 1 0.5 0.5
 0 0.5 0 0 0.5 1 1 0 0.1111111 0.25 0.5 0.5 0
 0 1 0.5 1 1 1 1 1 0.6363636 0.7333333 1 1 0
 0.5 1 0 0.5 0.5 0.5 1 0.5 0 0.5 0.5 0.5 0.5
 0.5 0.5 0 0.5 0.5 0.5 0.5 0.5 0.5 1 0.5 0.5 0.5
 0.5 0 0 0.5 0.5 0.5 0.5 0.5 0 0 0 0.5 0
 0.5 0 0 0 0.5 0.5 0.5 0.5 0 0 0.5 0.5 0.5
 0.5 1 0 0.5 0.5 0.5 0.5 0.5 0.5 0 0.5 0.5 0.5
 0 0.8888889 0.3636364 1 0.5 1 1 0.5 0.5 0.6363636 1 1 0
 0 0.75 0.2666667 0.5 0 1 1 1 0.3636364 0.5 1 0 0
 0 0.5 0 0.5 0.5 1 0.5 0.5 0 0 0.5 0.5 0
 0.5 0.5 0 0.5 0.5 0.5 0.5 0.5 0 1 0.5 0.5 0.5
 0.5 1 1 0.5 0.5 1 0.5 0.5 1 1 1 0.5 0.5
]
