n: 10
m: 100
c:
[
 0.5 0.82 0.12 0.77 0.05 0.91 0.24 0.8 0.15 0.76
 0.18 0.5 0.88 0.22 0.79 0.1 0.07 0.95 0.25 0.79
 0.88 0.12 0.5 0.81 0.23 0.9 0.75 0.14 0.05 0.83
 0.23 0.78 0.19 0.5 0.8 0 0.25 0.85 0.11 0.97
 0.95 0.21 0.77 0.2 0.5 0.08 0.89 0.76 0.02 0.75
 0.09 0.9 0.1 1 0.92 0.5 0.78 0.18 0.84 0.2
 0.76 0.93 0.25 0.75 0.11 0.22 0.5 0.79 0.09 0.85
 0.2 0.05 0.86 0.15 0.24 0.82 0.21 0.5 0.77 0.13
 0.85 0.75 0.95 0.89 0.98 0.16 0.91 0.23 0.5 0.8
 0.24 0.21 0.17 0.03 0.25 0.8 0.15 0.87 0.2 0.5
]
