n: 57
m: 16
c:
[
 0.5 0.2 0.1875 0.1428571 0.1875 0.25 0.5625 0.3125 0.5384615 0.5 0.375 0.5 0.4666667 0.6666667 0.5 0.6666667 0.7777778 0.75 0.25 0.3333333 0.4375 0.3333333 0.1875 0.5555556 0.1875 0.6666667 0.25 0.6428571 1 0 0.75 0.75 1 0 1 0.2857143 0.4444444 0 0 0.5 0.8 1 0.6666667 1 1 1 1 1 1 0 1 1 0 0 0 1 1
 0.8 0.5 0.8 0.4285714 0.4 0.4666667 0.8666667 0.5333333 0.75 0.75 0.6 0.6923077 0.7857143 0.7272727 0.7333333 0.8571429 0.875 1 0.8 0.6666667 0.6666667 0.7142857 0.3333333 1 0.6666667 0.8333333 0.5333333 0.8461538 1 1 1 1 1 1 1 0.4285714 0.6666667 1 1 1 1 0.5 0.6666667 1 1 1 1 1 1 0.5 1 1 1 1 1 1 1
 0.8125 0.2 0.5 0.2142857 0.375 0.3125 0.625 0.375 0.6923077 0.5 0.5 0.5 0.6666667 0.6666667 0.625 0.8 0.6666667 0.75 0.5 0.3333333 0.625 0.6 0.375 0.8888889 0.5 0.6666667 0.5625 0.7857143 1 0 0.75 0.75 1 0 1 0.4285714 0.7777778 0 0 1 1 1 0.6666667 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 0.8571429 0.5714286 0.7857143 0.5 0.5714286 0.7142857 0.7857143 0.7857143 0.9090909 0.9090909 0.7857143 0.75 0.8461538 0.9090909 0.7857143 0.9230769 0.8571429 0.5 0.7857143 0.5 0.8571429 0.6923077 0.5714286 1 0.7142857 0.6666667 0.7142857 0.75 1 1 1 1 1 0.5 0.5 0.8571429 1 1 1 0 1 0.5 1 1 1 1 1 1 1 0.5 1 1 0 0 0 1 1
 0.8125 0.6 0.625 0.4285714 0.5 0.625 0.9375 0.75 0.9230769 0.9166667 0.8125 0.7142857 0.8 0.9166667 0.875 0.8666667 0.8888889 0.75 0.75 1 0.875 0.6666667 0.4375 0.8888889 0.75 1 0.75 0.9285714 1 1 1 0.75 1 1 1 0.8571429 0.7777778 1 1 0.5 0.8 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1
 0.75 0.5333333 0.6875 0.2857143 0.375 0.5 0.6875 0.5625 0.9230769 0.8333333 0.5625 0.5714286 0.6666667 0.6666667 0.75 0.7333333 0.7777778 0.5 0.625 0.6666667 0.8125 0.5333333 0.375 0.6666667 0.625 0.8333333 0.625 0.7857143 1 1 1 0.75 1 1 1 0.7142857 0.7777778 0 0 0.5 0.6 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 0.4375 0.1333333 0.375 0.2142857 0.0625 0.3125 0.5 0.125 0.6153846 0.6666667 0.3125 0.4285714 0.4666667 0.5833333 0.5625 0.6666667 0.7777778 0.5 0.375 0.6666667 0.625 0.3333333 0.0625 0.7777778 0.375 0.6666667 0.3125 0.6428571 1 0 0.75 0.5 1 1 1 0.4285714 0.5555556 0 0 0 0.6 1 0.6666667 1 1 1 1 1 1 0 1 1 0 0 1 1 1
 0.6875 0.4666667 0.625 0.2142857 0.25 0.4375 0.875 0.5 0.9230769 0.9166667 0.4375 0.6428571 0.7333333 0.8333333 0.75 0.8 0.7777778 0.75 0.6875 0.6666667 0.75 0.6 0.375 0.8888889 0.5625 1 0.5 0.9285714 1 1 1 0.75 1 1 1 1 0.7777778 0 0 0 0.8 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1
 0.4615385 0.25 0.3076923 0.09090909 0.07692308 0.07692308 0.3846154 0.07692308 0.5 0.6 0.3076923 0.2727273 0.4166667 0.5 0.3846154 0.5 0.7142857 0.5 0.3076923 0.3333333 0.3076923 0.3333333 0.1538462 0.5 0.1538462 0.8 0.3076923 0.5454545 1 0 0.75 0.75 1 0 1 0.4285714 0.375 0.5 0.5 0 0.4 1 0.6666667 1 1 1 1 1 1 0.5 1 1 0.5 0.5 0.5 0.5 0.5
 0.5 0.25 0.5 0.09090909 0.08333333 0.1666667 0.3333333 0.08333333 0.4 0.5 0.3333333 0.4 0.4545455 0.4444444 0.6666667 0.5454545 0.5714286 1 0.5 0.5 0.3333333 0.2727273 0.1666667 0.7142857 0.3333333 0.8 0.25 0.5 1 1 0.75 1 1 1 1 0.3333333 0.1428571 0 0 0.5 0.6666667 0.5 0.3333333 0 1 1 1 1 1 0.5 1 0.5 0.5 0.5 0.5 0.5 0.5
