n: 52
m: 14
c:
[
 0.5 0.5714286 0.2857143 0.4285714 0.4285714 0.6428571 0.5714286 0.5714286 0.6666667 0.6666667 1 1 1 1 0.8571429 0.75 0.8 0.8333333 0.6428571 0.8333333 0.4285714 0.8 0.5714286 0.75 0.6428571 0.7777778 0.8333333 1 0.5555556 0.6153846 1 0.8461538 0.75 1 0.5 0.6666667 1 1 1 0.3333333 1 1 1 1 0 0 0 1 0 1 1 1
 0.4285714 0.5 0.2857143 0.5714286 0.6428571 0.5714286 0.6428571 0.5 0.6666667 1 0.8571429 1 1 1 0.7857143 0.75 0.8 0.75 0.6428571 0.6666667 0.6428571 0.6 0.8571429 0.6666667 0.7142857 0.7777778 0.8333333 1 0.7777778 0.8461538 1 0.7692308 0.6666667 1 0.625 1 1 1 1 0.3333333 0.6666667 1 1 1 0 0 0 0.6666667 1 1 1 1
 0.7142857 0.7142857 0.5 0.7142857 0.6428571 0.8571429 0.7857143 0.7857143 1 1 0.8571429 1 1 1 0.9285714 0.9166667 1 0.9166667 0.7142857 0.8333333 0.7142857 0.9 0.7857143 0.9166667 0.8571429 0.8888889 0.8333333 1 0.8888889 0.9230769 1 0.9230769 0.8333333 1 0.875 1 1 1 1 1 1 1 1 1 1 1 1 0.6666667 1 1 1 1
 0.5714286 0.4285714 0.2857143 0.5 0.5 0.7857143 0.7142857 0.5 1 0.3333333 1 0.5 0.5 1 0.8571429 0.9166667 0.6 0.8333333 0.7857143 1 0.5 0.8 0.7857143 0.75 0.6428571 1 0.8333333 1 0.7777778 0.6923077 1 0.8461538 0.9166667 1 0.875 0.3333333 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1
 0.5714286 0.3571429 0.3571429 0.5 0.5 0.6428571 0.6428571 0.6428571 0.6666667 1 1 1 1 1 0.8571429 0.75 1 0.75 0.5 0.6666667 0.5714286 0.7 0.7142857 0.6666667 0.6428571 0.5555556 0.8333333 1 0.4444444 0.7692308 1 0.8461538 0.6666667 1 0.75 1 1 1 1 0.6666667 0.3333333 0.5 1 1 0 0 0 0.3333333 1 0 1 1
 0.3571429 0.4285714 0.1428571 0.2142857 0.3571429 0.5 0.4285714 0.4285714 1 1 1 1 0.5 1 0.7142857 0.8333333 0.6 0.75 0.5 0.5 0.5 0.6 0.5 0.6666667 0.6428571 0.7777778 1 1 0.3333333 0.5384615 0.5 0.6153846 0.5 1 0.5 0.6666667 0 0 1 0.6666667 1 0.5 1 1 1 1 1 1 0 0 1 1
 0.4285714 0.3571429 0.2142857 0.2857143 0.3571429 0.5714286 0.5 0.5 0.6666667 0.6666667 1 1 1 1 0.8571429 0.8333333 0.8 0.8333333 0.6428571 0.6666667 0.5714286 0.6 0.7142857 0.5833333 0.5714286 0.8888889 0.6666667 1 0.7777778 0.6923077 0.75 0.8461538 0.6666667 1 0.625 0.6666667 1 1 1 0.6666667 1 0.5 0 1 1 1 1 0.6666667 1 1 1 1
 0.4285714 0.5 0.2142857 0.5 0.3571429 0.5714286 0.5 0.5 0.6666667 1 0.8571429 1 1 1 0.7857143 0.75 1 0.8333333 0.6428571 0.6666667 0.5714286 0.5 0.7857143 0.5833333 0.5714286 0.8888889 0.8333333 1 0.6666667 0.8461538 0.5 0.8461538 0.6666667 0.5 0.75 1 1 1 1 0.3333333 0.6666667 1 1 1 1 1 1 0.6666667 1 1 1 1
 0.3333333 0.3333333 0 0 0.3333333 0 0.3333333 0.3333333 0.5 0.5 1 0.5 1 1 1 0.3333333 1 0.6666667 1 0.5 0.6666667 0.6666667 0.6666667 1 0.6666667 1 0.5 1 0.5 0.5 0.5 1 1 0.5 0 1 0.5 0.5 0.5 0 0.5 0.5 0.5 1 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1
 0.3333333 0 0 0.6666667 0 0 0.3333333 0 0.5 0.5 1 0.5 1 1 1 1 0.6666667 1 1 1 0.3333333 1 0.3333333 1 0.3333333 1 1 1 0.5 0 0.5 0.5 1 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1 1 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0 0.1428571 0.1428571 0 0 0 0 0.1428571 0 0 0.5 1 1 1 0.2857143 0.2 1 0.3333333 0.1428571 0.2 0.2857143 0.3333333 0.4285714 0.3333333 0.2857143 0.4 0.6666667 1 0 0.3333333 0.5 0.5 0.1666667 1 0.3333333 0.5 0.5 0.5 0.5 0.5 0 1 0.5 0.5 0 0 0 0 0.5 0.5 0.5 0.5
