n: 54
m: 10
c:
[
 0.5 0.8 0.9 1 1 0.9 0.9 1 1 1 1 1 1 1 1 0.8 1 1 1 0.8 1 1 1 1 1 1 1 1 1 1 0.8888889 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 0.2 0.5 0.7 0.7142857 0.7 0.8 0.9 0.8888889 0.6666667 1 0.8333333 1 1 0.6 1 0.5 0.8888889 0.7142857 0.8 0.5 1 0.875 1 1 0.8 0.875 1 1 1 1 0.7777778 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 1 1 1
 0.1 0.3 0.5 0.7142857 0.4 0.6 0.5 0.3333333 0.6666667 0.5 0.6666667 0.5 1 0.4 0.8 0.4 0.4444444 0.4285714 0.8 0.6 1 0.75 0.5 0.6666667 0.6 0.375 1 1 0 0 0.6666667 1 1 1 0.5 0.5 0.5 0 1 1 0.5 1 1 1 1 1 1 1 1 1 0 1 1 1
 0 0.2857143 0.2857143 0.5 0.2857143 0.2857143 0.4285714 0.5714286 0.6666667 0.5 0.75 0.5 1 0.2857143 0.6666667 0.2857143 0.4285714 0.5 0.6666667 0.2857143 1 0.4285714 0.5 0.6666667 0.4 0.4 1 1 0 0 0.3333333 0 0.3333333 1 1 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0 1
 0 0.3 0.6 0.7142857 0.5 0.5 0.4 0.5555556 1 0.5 0.8333333 0.5 1 0.6 1 0.4 0.6666667 0.7142857 0.8 0.5 1 0.875 1 0.6666667 0.8 0.5 1 1 0 0.5 0.6666667 0 1 1 0.5 0.5 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1
 0.1 0.2 0.4 0.7142857 0.5 0.5 0.4 0.4444444 1 0.5 0.6666667 1 1 0.6 0.6 0.5 0.5555556 0.4285714 0.8 0.4 1 0.75 1 1 1 0.375 1 1 1 1 0.6666667 1 1 1 0.5 0.5 0.5 0 1 0.5 0.5 1 1 1 1 1 1 1 1 1 0 1 1 1
 0.1 0.1 0.5 0.5714286 0.6 0.6 0.5 0.5555556 0.6666667 0.5 0.8333333 0.5 1 0.6 1 0.4 0.6666667 0.4285714 0.6 0.5 1 0.75 1 1 0.8 0.625 1 1 0 1 0.6666667 1 1 0 0 0.5 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 0 0.1111111 0.6666667 0.4285714 0.4444444 0.5555556 0.4444444 0.5 0.6666667 1 1 1 1 0.4444444 1 0.3333333 0.7777778 0.5 1 0.3333333 1 0.875 1 1 0.8 0.7142857 1 1 1 1 0.875 0 0.6666667 1 0.5 0.5 1 0 1 1 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 1 1 1 1
 0 0.3333333 0.3333333 0.3333333 0 0 0.3333333 0.3333333 0.5 1 1 1 1 0.3333333 1 0.3333333 0.3333333 1 1 0.6666667 1 0.3333333 1 1 1 1 1 1 0.5 0.5 0.5 0.5 0 1 1 0.5 0 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0 0 0.5 0.5 0.5 0.5 0.5 0 0 0.5 1 1 1 1 1 0.5 1 0.5 1 0.5 1 0.5 1 1 1 1 1 1 1 1 1 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0 0.1666667 0.3333333 0.25 0.1666667 0.3333333 0.1666667 0 0 0 0.5 1 1 0.1666667 0.8 0.3333333 0.1666667 0.5 0.75 0.5 1 0.8 1 1 0.6666667 0.2 1 1 0.5 0.5 0.4 0 1 1 0.5 1 0.5 0 0 0.5 0 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0 1 0.5 0.5
 0 0 0.5 0.5 0.5 0 0.5 0 0 0 0 0.5 1 1 1 0.5 1 0.5 0.5 0.5 1 0.5 1 1 1 0.5 1 1 1 1 1 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
