n: 9
m: 10
c:
[
 0.5 0 0.2 0.2222222 0.5 0.8888889 0.2 1 0.6666667
 1 0.5 0.875 1 1 1 0.8888889 1 0.8333333
 0.8 0.125 0.5 1 0.9 0.8888889 0.3333333 0.8888889 0.75
 0.7777778 0 0 0.5 0.8888889 0.875 0 0.875 0.6666667
 0.5 0 0.1 0.1111111 0.5 1 0.1 0.8888889 0.6666667
 0.1111111 0 0.1111111 0.125 0 0.5 0.1111111 0.8 0.4
 0.8 0.1111111 0.6666667 1 0.9 0.8888889 0.5 0.8888889 0.7777778
 0 0 0.1111111 0.125 0.1111111 0.2 0.1111111 0.5 0.25
 0.3333333 0.1666667 0.25 0.3333333 0.3333333 0.6 0.2222222 0.75 0.5
]
