n: 51
m: 9
c:
[
 0.5 0.375 0.625 0.375 0.5 0.625 0.8333333 0.625 0.125 0.5714286 0.8 0.8571429 0.4285714 0.4285714 0.8571429 0.5 0.8 0 0.25 0.3333333 0.6666667 0.4285714 0.6 1 1 1 1 1 1 1 1 1 0.5 0 0.6666667 1 1 1 1 1 1 0.5 0.5 0.5 0.5 0.5 0.5 1 1 1 1
 0.625 0.5 0.6666667 0.3333333 0.5555556 0.8888889 0.8333333 0.7777778 0.1111111 0.5714286 1 0.875 0.8571429 0.5 1 0.5555556 0.8 0 0.5 0.6666667 1 0.5714286 0.6 1 1 1 1 1 1 1 1 1 0.5 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 0.375 0.3333333 0.5 0.4444444 0.5555556 0.6666667 0.6666667 0.4444444 0.1111111 0.4285714 0.6 0.875 0.7142857 0.375 0.625 0.3333333 0.8 0.3333333 0.75 0.6666667 1 0.5714286 0.2 0.5 1 1 1 1 0.6666667 1 1 1 0.5 0 1 1 0 0 0 1 1 0 1 1 1 1 1 1 1 1 1
 0.625 0.6666667 0.5555556 0.5 0.6666667 0.7777778 0.8333333 0.7777778 0.3333333 0.8571429 0.8 1 0.8571429 0.875 0.875 0.4444444 0.8 0.6666667 0.75 1 1 0.7142857 0.6 1 1 1 1 1 1 1 1 1 0.5 0 0.6666667 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 0.5 0.4444444 0.4444444 0.3333333 0.5 0.6666667 0.6666667 0.6666667 0.3333333 0.5714286 0.8 0.625 0.5714286 0.75 0.5 0.3333333 1 0.6666667 0.5 0.3333333 0.6666667 0.4285714 0.4 0.5 1 1 1 1 1 1 1 1 1 1 0.6666667 1 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1
 0.375 0.1111111 0.3333333 0.2222222 0.3333333 0.5 0.6666667 0.5555556 0.1111111 0.4285714 0.8 0.875 0.7142857 0.375 0.625 0.4444444 0.8 0.3333333 0.25 0.3333333 0.6666667 0.5714286 0.4 0.5 1 1 1 1 0.3333333 1 1 1 1 1 1 1 0 0 0 0 1 0 0 0 0 1 1 1 1 1 1
 0.1666667 0.1666667 0.3333333 0.1666667 0.3333333 0.3333333 0.5 0.6666667 0.1666667 0.2 0.6666667 0.6 0.6 0.2 0.6 0.5 0.8 0.3333333 0.3333333 0.3333333 0.3333333 0.2 0.25 0 1 1 0.5 1 0.5 1 1 1 0.5 1 1 0.5 0 0 0 1 1 0.5 0.5 0.5 0.5 0.5 0.5 0 1 1 1
 0.375 0.2222222 0.5555556 0.2222222 0.3333333 0.4444444 0.3333333 0.5 0.1111111 0.5714286 0.8 0.5 0.5714286 0.25 0.5 0.3333333 0.6 0 0.5 0 0.3333333 0.4285714 0.4 1 1 1 0.6666667 1 0.6666667 1 1 1 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1
 0.875 0.8888889 0.8888889 0.6666667 0.6666667 0.8888889 0.8333333 0.8888889 0.5 0.8571429 1 1 1 1 1 0.6666667 1 1 1 0.6666667 1 0.8571429 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 0.4285714 0.4285714 0.5714286 0.1428571 0.4285714 0.5714286 0.8 0.4285714 0.1428571 0.5 0.8 0.8571429 0.6666667 0.6666667 0.6666667 0.5714286 1 0.5 0.3333333 0.6666667 1 0.5 0.75 0.5 1 1 1 1 0.6666667 1 1 0.6666667 1 0.5 1 1 0 0 0 1 1 0.5 0.5 0.5 0.5 0.5 0.5 1 1 1 1
 0.2 0 0.4 0.2 0.2 0.2 0.3333333 0.2 0 0.2 0.5 0.8 0.75 0.6 0.75 0.4 0.6666667 0 0 0.5 0.5 0.5 0.3333333 1 0.5 1 1 0.5 0.5 0.5 0.5 1 0 0.5 1 1 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0 1 1 1
 0.1428571 0.125 0.125 0 0.375 0.125 0.4 0.5 0 0.1428571 0.2 0.5 0.3333333 0.2857143 0.2857143 0.375 0.75 0 0 0 0.3333333 0.1666667 0.25 0.5 1 1 0.6666667 1 0.3333333 1 1 0.6666667 0 0.5 0.6666667 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1
